""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"
"Tery_1287"	7	3	5	2	5	0	3	"     1.92"	"     0.46"	"     0.92"	"     0.66"	"     0.91"	"     0.00"	"     0.85"	" 0.9484"	"-1.0847"	"-0.1107"	"-0.5801"	"-0.1232"	"-6.6439"	"-0.2249"
"Tery_1288"	245	447	376	231	524	310	246	"    67.19"	"    68.76"	"    68.90"	"    76.11"	"    95.17"	"    55.53"	"    69.34"	" 6.0704"	" 6.1037"	" 6.1065"	" 6.2501"	" 6.5726"	" 5.7956"	" 6.1159"
"Tery_1289"	54	96	71	42	91	58	31	"    14.81"	"    14.77"	"    13.01"	"    13.84"	"    16.53"	"    10.39"	"     8.74"	" 3.8894"	" 3.8853"	" 3.7026"	" 3.7916"	" 4.0477"	" 3.3785"	" 3.1290"
"Tery_1290"	109	113	88	86	134	92	77	"    29.89"	"    17.38"	"    16.12"	"    28.33"	"    24.34"	"    16.48"	"    21.71"	" 4.9022"	" 4.1204"	" 4.0121"	" 4.8250"	" 4.6057"	" 4.0436"	" 4.4406"
"Tery_1291"	264	443	346	266	557	370	261	"    72.40"	"    68.15"	"    63.40"	"    87.64"	"   101.17"	"    66.28"	"    73.57"	" 6.1782"	" 6.0908"	" 5.9866"	" 6.4537"	" 6.6607"	" 6.0508"	" 6.2013"
"Tery_1292"	241	552	509	201	395	578	323	"    66.09"	"    84.91"	"    93.27"	"    66.22"	"    71.74"	"   103.54"	"    91.05"	" 6.0467"	" 6.4081"	" 6.5434"	" 6.0495"	" 6.1650"	" 6.6942"	" 6.5087"
"Tery_1293"	326	661	578	248	562	348	398	"    89.41"	"   101.68"	"   105.91"	"    81.71"	"   102.07"	"    62.34"	"   112.19"	" 6.4825"	" 6.6680"	" 6.7268"	" 6.3526"	" 6.6736"	" 5.9623"	" 6.8099"
"Tery_1294"	383	605	556	281	523	567	326	"   105.04"	"    93.07"	"   101.88"	"    92.58"	"    94.99"	"   101.57"	"    91.89"	" 6.7149"	" 6.5403"	" 6.6708"	" 6.5328"	" 6.5699"	" 6.6665"	" 6.5221"
"Tery_1296"	1788	3479	2915	993	1878	2898	1770	"   490.36"	"   535.17"	"   534.12"	"   327.16"	"   341.10"	"   519.15"	"   498.94"	" 8.9377"	" 9.0639"	" 9.0611"	" 8.3539"	" 8.4141"	" 9.0200"	" 8.9627"
"Tery_1297"	6	5	8	3	7	3	8	"     1.65"	"     0.77"	"     1.47"	"     0.99"	"     1.27"	"     0.54"	"     2.26"	" 0.7273"	"-0.3600"	" 0.5616"	"-0.0023"	" 0.3577"	"-0.8693"	" 1.1796"
"Tery_1299"	1	3	0	4	4	0	3	"     0.27"	"     0.46"	"     0.00"	"     1.32"	"     0.73"	"     0.00"	"     0.85"	"-1.8148"	"-1.0847"	"-6.6439"	" 0.4091"	"-0.4412"	"-6.6439"	"-0.2249"
"Tery_1301"	156	274	209	115	238	286	111	"    42.78"	"    42.15"	"    38.30"	"    37.89"	"    43.23"	"    51.23"	"    31.29"	" 5.4193"	" 5.3978"	" 5.2595"	" 5.2441"	" 5.4342"	" 5.6793"	" 4.9681"
"Tery_1302"	90	132	110	56	99	122	75	"    24.68"	"    20.31"	"    20.16"	"    18.45"	"    17.98"	"    21.86"	"    21.14"	" 4.6260"	" 4.3445"	" 4.3338"	" 4.2063"	" 4.1692"	" 4.4506"	" 4.4027"
"Tery_1305"	159	241	205	107	219	159	123	"    43.61"	"    37.07"	"    37.56"	"    35.25"	"    39.78"	"    28.48"	"    34.67"	" 5.4468"	" 5.2127"	" 5.2316"	" 5.1401"	" 5.3142"	" 4.8326"	" 5.1161"
"Tery_1306"	1926	3817	3412	2069	3008	5977	2086	"   528.21"	"   587.17"	"   625.19"	"   681.67"	"   546.34"	"  1070.73"	"   588.01"	" 9.0450"	" 9.1976"	" 9.2882"	" 9.4129"	" 9.0937"	"10.0644"	" 9.1997"
"Tery_1307"	379	533	567	268	472	555	320	"   103.94"	"    81.99"	"   103.89"	"    88.30"	"    85.73"	"    99.42"	"    90.20"	" 6.6998"	" 6.3576"	" 6.6991"	" 6.4645"	" 6.4219"	" 6.6357"	" 6.4953"
"Tery_1308"	56	118	79	71	87	156	48	"    15.36"	"    18.15"	"    14.48"	"    23.39"	"    15.80"	"    27.95"	"    13.53"	" 3.9419"	" 4.1828"	" 3.8565"	" 4.5486"	" 3.9829"	" 4.8051"	" 3.7592"
"Tery_1310"	145	227	192	84	170	251	127	"    39.77"	"    34.92"	"    35.18"	"    27.68"	"    30.88"	"    44.96"	"    35.80"	" 5.3138"	" 5.1264"	" 5.1371"	" 4.7910"	" 4.9489"	" 5.4910"	" 5.1623"
"Tery_1311"	309	600	406	291	629	412	291	"    84.74"	"    92.30"	"    74.39"	"    95.88"	"   114.24"	"    73.81"	"    82.03"	" 6.4052"	" 6.5284"	" 6.2173"	" 6.5832"	" 6.8361"	" 6.2059"	" 6.3582"
"Tery_1312"	2067	3891	3272	1998	3755	3664	2430	"   566.87"	"   598.55"	"   599.54"	"   658.28"	"   682.01"	"   656.37"	"   684.98"	" 9.1469"	" 9.2253"	" 9.2277"	" 9.3626"	" 9.4137"	" 9.3584"	" 9.4199"
"Tery_1313"	1134	1559	2293	715	1836	1029	2431	"   311.00"	"   239.82"	"   420.15"	"   235.57"	"   333.47"	"   184.34"	"   685.26"	" 8.2808"	" 7.9059"	" 8.7148"	" 7.8801"	" 8.3815"	" 7.5263"	" 9.4205"
"Tery_1314"	653	1354	1117	495	951	1037	702	"   179.09"	"   208.28"	"   204.67"	"   163.09"	"   172.73"	"   185.77"	"   197.88"	" 7.4846"	" 7.7025"	" 7.6772"	" 7.3496"	" 7.4324"	" 7.5374"	" 7.6286"
"Tery_1316"	388	564	445	385	528	616	300	"   106.41"	"    86.76"	"    81.54"	"   126.84"	"    95.90"	"   110.35"	"    84.57"	" 6.7336"	" 6.4391"	" 6.3496"	" 6.9870"	" 6.5836"	" 6.7861"	" 6.4022"
"Tery_1318"	535	757	673	470	702	973	499	"   146.72"	"   116.45"	"   123.32"	"   154.85"	"   127.50"	"   174.30"	"   140.66"	" 7.1971"	" 6.8637"	" 6.9463"	" 7.2748"	" 6.9945"	" 7.4455"	" 7.1362"
"Tery_1319"	23	33	50	21	36	41	29	"     6.31"	"     5.08"	"     9.16"	"     6.92"	"     6.54"	"     7.34"	"     8.17"	" 2.6594"	" 2.3466"	" 3.1972"	" 2.7926"	" 2.7112"	" 2.8787"	" 3.0329"
"Tery_1323"	33	94	58	20	37	51	48	"     9.05"	"    14.46"	"    10.63"	"     6.59"	"     6.72"	"     9.14"	"    13.53"	" 3.1796"	" 3.8550"	" 3.4111"	" 2.7223"	" 2.7507"	" 3.1932"	" 3.7592"
"Tery_1324"	98	195	128	95	143	293	100	"    26.88"	"    30.00"	"    23.45"	"    31.30"	"    25.97"	"    52.49"	"    28.19"	" 4.7488"	" 4.9072"	" 4.5524"	" 4.9685"	" 4.6995"	" 5.7142"	" 4.8175"
"Tery_1325"	73	150	100	67	120	243	106	"    20.02"	"    23.07"	"    18.32"	"    22.07"	"    21.80"	"    43.53"	"    29.88"	" 4.3241"	" 4.5288"	" 4.1964"	" 4.4650"	" 4.4466"	" 5.4443"	" 4.9016"
"Tery_1328"	98	148	157	78	139	118	72	"    26.88"	"    22.77"	"    28.77"	"    25.70"	"    25.25"	"    21.14"	"    20.30"	" 4.7488"	" 4.5095"	" 4.8469"	" 4.6842"	" 4.6586"	" 4.4025"	" 4.3438"
"Tery_1330"	53	60	48	41	53	65	32	"    14.54"	"     9.23"	"     8.80"	"    13.51"	"     9.63"	"    11.64"	"     9.02"	" 3.8625"	" 3.2079"	" 3.1383"	" 3.7568"	" 3.2685"	" 3.5428"	" 3.1748"
"Tery_1332"	19	26	9	6	11	3	3	"     5.21"	"     4.00"	"     1.65"	"     1.98"	"     2.00"	"     0.54"	"     0.85"	" 2.3843"	" 2.0034"	" 0.7304"	" 0.9905"	" 1.0057"	"-0.8693"	"-0.2249"
"Tery_1333"	9	13	11	6	15	10	2	"     2.47"	"     2.00"	"     2.02"	"     1.98"	"     2.72"	"     1.79"	"     0.56"	" 1.3093"	" 1.0070"	" 1.0183"	" 0.9905"	" 1.4512"	" 0.8491"	"-0.8015"
"Tery_1335"	58	122	76	41	100	65	64	"    15.91"	"    18.77"	"    13.93"	"    13.51"	"    18.16"	"    11.64"	"    18.04"	" 3.9925"	" 4.2309"	" 3.8007"	" 3.7568"	" 4.1837"	" 3.5428"	" 4.1740"
"Tery_1336"	715	1087	825	552	1072	923	599	"   196.09"	"   167.21"	"   151.17"	"   181.87"	"   194.71"	"   165.35"	"   168.85"	" 7.6154"	" 7.3856"	" 7.2401"	" 7.5068"	" 7.6052"	" 7.3694"	" 7.3997"
"Tery_1337"	839	1195	1250	695	1500	854	843	"   230.10"	"   183.83"	"   229.04"	"   228.98"	"   272.44"	"   152.99"	"   237.63"	" 7.8462"	" 7.5223"	" 7.8395"	" 7.8391"	" 8.0899"	" 7.2574"	" 7.8926"
"Tery_1338"	174	232	183	130	198	155	110	"    47.72"	"    35.69"	"    33.53"	"    42.83"	"    35.96"	"    27.77"	"    31.01"	" 5.5768"	" 5.1578"	" 5.0679"	" 5.4209"	" 5.1688"	" 4.7958"	" 4.9550"
"Tery_1340"	202	357	237	169	328	308	189	"    55.40"	"    54.92"	"    43.43"	"    55.68"	"    59.57"	"    55.18"	"    53.28"	" 5.7920"	" 5.7794"	" 5.4408"	" 5.7993"	" 5.8969"	" 5.7862"	" 5.7357"
"Tery_1341"	142	225	192	99	153	173	122	"    38.94"	"    34.61"	"    35.18"	"    32.62"	"    27.79"	"    30.99"	"    34.39"	" 5.2837"	" 5.1136"	" 5.1371"	" 5.0280"	" 4.7970"	" 4.9543"	" 5.1043"
"Tery_1342"	91	243	133	58	150	121	71	"    24.96"	"    37.38"	"    24.37"	"    19.11"	"    27.24"	"    21.68"	"    20.01"	" 4.6419"	" 5.2246"	" 4.6076"	" 4.2569"	" 4.7684"	" 4.4387"	" 4.3236"
"Tery_1343"	317	663	551	397	692	578	380	"    86.94"	"   101.99"	"   100.96"	"   130.80"	"   125.69"	"   103.54"	"   107.12"	" 6.4421"	" 6.6724"	" 6.6578"	" 7.0313"	" 6.9738"	" 6.6942"	" 6.7432"
"Tery_1344"	270	480	441	204	391	495	287	"    74.05"	"    73.84"	"    80.81"	"    67.21"	"    71.02"	"    88.67"	"    80.90"	" 6.2106"	" 6.2065"	" 6.3366"	" 6.0708"	" 6.1503"	" 6.4706"	" 6.3383"
"Tery_1346"	267	348	238	253	244	477	150	"    73.22"	"    53.53"	"    43.61"	"    83.36"	"    44.32"	"    85.45"	"    42.28"	" 6.1945"	" 5.7426"	" 5.4469"	" 6.3814"	" 5.4701"	" 6.4172"	" 5.4023"
"Tery_1348"	146	350	266	109	286	254	148	"    40.04"	"    53.84"	"    48.74"	"    35.91"	"    51.95"	"    45.50"	"    41.72"	" 5.3237"	" 5.7509"	" 5.6073"	" 5.1668"	" 5.6992"	" 5.5082"	" 5.3830"
"Tery_1349"	156	260	231	123	222	216	108	"    42.78"	"    40.00"	"    42.33"	"    40.52"	"    40.32"	"    38.69"	"    30.44"	" 5.4193"	" 5.3221"	" 5.4038"	" 5.3411"	" 5.3338"	" 5.2744"	" 4.9285"
"Tery_1350"	212	364	342	111	279	228	172	"    58.14"	"    55.99"	"    62.67"	"    36.57"	"    50.67"	"    40.84"	"    48.48"	" 5.8617"	" 5.8075"	" 5.9698"	" 5.1930"	" 5.6635"	" 5.3524"	" 5.5997"
"Tery_1351"	1006	1695	1457	754	1094	1735	833	"   275.90"	"   260.74"	"   266.97"	"   248.42"	"   198.70"	"   310.81"	"   234.81"	" 8.1080"	" 8.0265"	" 8.0606"	" 7.9567"	" 7.6345"	" 8.2799"	" 7.8754"
"Tery_1352"	1485	2467	2071	1120	2029	2298	1296	"   407.26"	"   379.50"	"   379.47"	"   369.00"	"   368.52"	"   411.67"	"   365.32"	" 8.6698"	" 8.5680"	" 8.5679"	" 8.5275"	" 8.5257"	" 8.6854"	" 8.5131"
"Tery_1353"	1036	1756	1622	777	1595	1518	969	"   284.12"	"   270.12"	"   297.20"	"   256.00"	"   289.70"	"   271.94"	"   273.15"	" 8.1504"	" 8.0775"	" 8.2154"	" 8.0000"	" 8.1784"	" 8.0872"	" 8.0936"
"Tery_1354"	305	684	607	226	545	571	366	"    83.65"	"   105.22"	"   111.22"	"    74.46"	"    98.99"	"   102.29"	"   103.17"	" 6.3864"	" 6.7174"	" 6.7974"	" 6.2186"	" 6.6293"	" 6.6767"	" 6.6890"
"Tery_1355"	2657	3279	3040	3431	3425	8136	2578	"   728.68"	"   504.41"	"   557.03"	"  1130.40"	"   622.08"	"  1457.49"	"   726.70"	" 9.5092"	" 8.9785"	" 9.1216"	"10.1426"	" 9.2810"	"10.5093"	" 9.5052"
"Tery_1356"	397	785	815	402	727	741	554	"   108.88"	"   120.76"	"   149.33"	"   132.45"	"   132.04"	"   132.74"	"   156.16"	" 6.7667"	" 6.9161"	" 7.2225"	" 7.0494"	" 7.0450"	" 7.0526"	" 7.2870"
"Tery_1357"	106	213	184	111	195	215	120	"    29.07"	"    32.77"	"    33.71"	"    36.57"	"    35.42"	"    38.52"	"    33.83"	" 4.8620"	" 5.0345"	" 5.0757"	" 5.1930"	" 5.1468"	" 5.2677"	" 5.0805"
"Tery_1358"	54	80	83	32	60	56	31	"    14.81"	"    12.31"	"    15.21"	"    10.54"	"    10.90"	"    10.03"	"     8.74"	" 3.8894"	" 3.6225"	" 3.9277"	" 3.3996"	" 3.4473"	" 3.3280"	" 3.1290"
"Tery_1360"	1225	1616	1255	1174	1550	1648	827	"   335.96"	"   248.59"	"   229.96"	"   386.79"	"   281.52"	"   295.22"	"   233.12"	" 8.3922"	" 7.9577"	" 7.8453"	" 8.5955"	" 8.1372"	" 8.2057"	" 7.8650"
"Tery_1361"	626	946	669	495	767	958	467	"   171.68"	"   145.52"	"   122.58"	"   163.09"	"   139.31"	"   171.62"	"   131.64"	" 7.4237"	" 7.1852"	" 6.9377"	" 7.3496"	" 7.1222"	" 7.4231"	" 7.0406"
"Tery_1362"	372	686	568	309	562	570	318	"   102.02"	"   105.53"	"   104.08"	"   101.81"	"   102.07"	"   102.11"	"    89.64"	" 6.6729"	" 6.7216"	" 6.7016"	" 6.6698"	" 6.6736"	" 6.6741"	" 6.4862"
"Tery_1363"	201	479	356	174	302	381	233	"    55.12"	"    73.68"	"    65.23"	"    57.33"	"    54.85"	"    68.25"	"    65.68"	" 5.7849"	" 6.2035"	" 6.0277"	" 5.8414"	" 5.7777"	" 6.0930"	" 6.0376"
"Tery_1364"	316	527	460	218	409	443	221	"    86.66"	"    81.07"	"    84.29"	"    71.82"	"    74.29"	"    79.36"	"    62.30"	" 6.4375"	" 6.3412"	" 6.3974"	" 6.1666"	" 6.2152"	" 6.3105"	" 5.9613"
"Tery_1365"	356	497	404	273	459	373	263	"    97.63"	"    76.45"	"    74.03"	"    89.94"	"    83.37"	"    66.82"	"    74.14"	" 6.6094"	" 6.2567"	" 6.2102"	" 6.4911"	" 6.3816"	" 6.0624"	" 6.2123"
"Tery_1366"	273	490	360	204	323	321	252	"    74.87"	"    75.38"	"    65.96"	"    67.21"	"    58.67"	"    57.50"	"    71.04"	" 6.2265"	" 6.2362"	" 6.0438"	" 6.0708"	" 5.8747"	" 5.8458"	" 6.1507"
"Tery_1367"	28	81	66	28	26	57	23	"     7.68"	"    12.46"	"    12.09"	"     9.23"	"     4.72"	"    10.21"	"     6.48"	" 2.9428"	" 3.6404"	" 3.5973"	" 3.2071"	" 2.2426"	" 3.3535"	" 2.6990"
"Tery_1368"	24	29	28	14	17	21	19	"     6.58"	"     4.46"	"     5.13"	"     4.61"	"     3.09"	"     3.76"	"     5.36"	" 2.7207"	" 2.1606"	" 2.3619"	" 2.2087"	" 1.6312"	" 1.9153"	" 2.4238"
"Tery_1369"	8	19	16	11	12	10	17	"     2.19"	"     2.92"	"     2.93"	"     3.62"	"     2.18"	"     1.79"	"     4.79"	" 1.1401"	" 1.5523"	" 1.5567"	" 1.8616"	" 1.1306"	" 0.8491"	" 2.2637"
"Tery_1371"	227	354	282	200	299	366	197	"    62.25"	"    54.46"	"    51.67"	"    65.89"	"    54.31"	"    65.57"	"    55.53"	" 5.9603"	" 5.7673"	" 5.6916"	" 6.0423"	" 5.7633"	" 6.0351"	" 5.7955"
"Tery_1372"	71	104	86	44	64	84	46	"    19.47"	"    16.00"	"    15.76"	"    14.50"	"    11.62"	"    15.05"	"    12.97"	" 4.2841"	" 4.0007"	" 3.9789"	" 3.8586"	" 3.5403"	" 3.9124"	" 3.6979"
"Tery_1375"	7	10	4	4	18	6	11	"     1.92"	"     1.54"	"     0.73"	"     1.32"	"     3.27"	"     1.07"	"     3.10"	" 0.9484"	" 0.6307"	"-0.4287"	" 0.4091"	" 1.7134"	" 0.1175"	" 1.6373"
"Tery_1376"	7	14	15	10	16	18	9	"     1.92"	"     2.15"	"     2.75"	"     3.29"	"     2.91"	"     3.22"	"     2.54"	" 0.9484"	" 1.1134"	" 1.4639"	" 1.7245"	" 1.5440"	" 1.6936"	" 1.3488"
"Tery_1379"	3	2	5	2	8	5	3	"     0.82"	"     0.31"	"     0.92"	"     0.66"	"     1.45"	"     0.90"	"     0.85"	"-0.2640"	"-1.6545"	"-0.1107"	"-0.5801"	" 0.5490"	"-0.1429"	"-0.2249"
"Tery_1380"	904	2064	1626	557	1205	1462	1094	"   247.92"	"   317.50"	"   297.94"	"   183.51"	"   218.86"	"   261.90"	"   308.38"	" 7.9538"	" 8.3107"	" 8.2189"	" 7.5198"	" 7.7739"	" 8.0329"	" 8.2686"
"Tery_1381"	133	193	161	79	113	184	92	"    36.48"	"    29.69"	"    29.50"	"    26.03"	"    20.52"	"    32.96"	"    25.93"	" 5.1892"	" 4.8923"	" 4.8831"	" 4.7025"	" 4.3599"	" 5.0432"	" 4.6973"
"Tery_1382"	163	366	243	132	226	248	156	"    44.70"	"    56.30"	"    44.53"	"    43.49"	"    41.05"	"    44.43"	"    43.97"	" 5.4826"	" 5.8154"	" 5.4769"	" 5.4429"	" 5.3596"	" 5.4737"	" 5.4589"
"Tery_1383"	216	308	255	112	205	219	164	"    59.24"	"    47.38"	"    46.72"	"    36.90"	"    37.23"	"    39.23"	"    46.23"	" 5.8887"	" 5.5665"	" 5.5464"	" 5.2060"	" 5.2189"	" 5.2943"	" 5.5310"
"Tery_1384"	23	26	26	17	30	14	19	"     6.31"	"     4.00"	"     4.76"	"     5.60"	"     5.45"	"     2.51"	"     5.36"	" 2.6594"	" 2.0034"	" 2.2552"	" 2.4882"	" 2.4486"	" 1.3323"	" 2.4238"
"Tery_1388"	6	16	6	0	3	8	3	"     1.65"	"     2.46"	"     1.10"	"     0.00"	"     0.54"	"     1.43"	"     0.85"	" 0.7273"	" 1.3052"	" 0.1498"	"-6.6439"	"-0.8497"	" 0.5292"	"-0.2249"
"Tery_1390"	8	19	12	5	10	14	8	"     2.19"	"     2.92"	"     2.20"	"     1.65"	"     1.82"	"     2.51"	"     2.26"	" 1.1401"	" 1.5523"	" 1.1433"	" 0.7289"	" 0.8689"	" 1.3323"	" 1.1796"
"Tery_1392"	27	61	53	19	58	38	26	"     7.40"	"     9.38"	"     9.71"	"     6.26"	"    10.53"	"     6.81"	"     7.33"	" 2.8904"	" 3.2317"	" 3.2811"	" 2.6484"	" 3.3984"	" 2.7692"	" 2.8756"
"Tery_1395"	189	341	354	136	280	165	216	"    51.83"	"    52.46"	"    64.86"	"    44.81"	"    50.86"	"    29.56"	"    60.89"	" 5.6961"	" 5.7133"	" 6.0196"	" 5.4860"	" 5.6686"	" 4.8860"	" 5.9283"
"Tery_1398"	612	948	830	452	866	551	478	"   167.84"	"   145.83"	"   152.08"	"   148.92"	"   157.29"	"    98.71"	"   134.74"	" 7.3910"	" 7.1882"	" 7.2488"	" 7.2185"	" 7.2974"	" 6.6252"	" 7.0742"
"Tery_1399"	164	230	185	119	198	148	158	"    44.98"	"    35.38"	"    33.90"	"    39.21"	"    35.96"	"    26.51"	"    44.54"	" 5.4914"	" 5.1453"	" 5.0836"	" 5.2934"	" 5.1688"	" 4.7292"	" 5.4773"
"Tery_1401"	14	37	17	8	16	21	17	"     3.84"	"     5.69"	"     3.11"	"     2.64"	"     2.91"	"     3.76"	"     4.79"	" 1.9447"	" 2.5114"	" 1.6438"	" 1.4037"	" 1.5440"	" 1.9153"	" 2.2637"
"Tery_1402"	18	27	23	16	18	28	10	"     4.94"	"     4.15"	"     4.21"	"     5.27"	"     3.27"	"     5.02"	"     2.82"	" 2.3064"	" 2.0578"	" 2.0787"	" 2.4009"	" 1.7134"	" 2.3294"	" 1.5002"
"Tery_1403"	110	156	130	55	103	164	57	"    30.17"	"    24.00"	"    23.82"	"    18.12"	"    18.71"	"    29.38"	"    16.07"	" 4.9154"	" 4.5854"	" 4.5747"	" 4.1804"	" 4.2263"	" 4.8772"	" 4.0070"
"Tery_1404"	5	19	10	9	6	7	6	"     1.37"	"     2.92"	"     1.83"	"     2.97"	"     1.09"	"     1.25"	"     1.69"	" 0.4660"	" 1.5523"	" 0.8815"	" 1.5730"	" 0.1372"	" 0.3380"	" 0.7666"
"Tery_1405"	1	6	4	2	1	4	4	"     0.27"	"     0.92"	"     0.73"	"     0.66"	"     0.18"	"     0.72"	"     1.13"	"-1.8148"	"-0.1001"	"-0.4287"	"-0.5801"	"-2.3836"	"-0.4608"	" 0.1859"
"Tery_1407"	62	109	101	42	105	82	58	"    17.00"	"    16.77"	"    18.51"	"    13.84"	"    19.07"	"    14.69"	"    16.35"	" 4.0886"	" 4.0684"	" 4.2107"	" 3.7916"	" 4.2541"	" 3.8777"	" 4.0320"
"Tery_1408"	147	231	207	86	158	188	144	"    40.31"	"    35.53"	"    37.93"	"    28.33"	"    28.70"	"    33.68"	"    40.59"	" 5.3336"	" 5.1516"	" 5.2456"	" 4.8250"	" 4.8433"	" 5.0742"	" 5.3435"
"Tery_1409"	1	7	2	4	4	0	4	"     0.27"	"     1.08"	"     0.37"	"     1.32"	"     0.73"	"     0.00"	"     1.13"	"-1.8148"	" 0.1201"	"-1.4094"	" 0.4091"	"-0.4412"	"-6.6439"	" 0.1859"
"Tery_1411"	2	14	6	3	0	2	5	"     0.55"	"     2.15"	"     1.10"	"     0.99"	"     0.00"	"     0.36"	"     1.41"	"-0.8404"	" 1.1134"	" 0.1498"	"-0.0023"	"-6.6439"	"-1.4411"	" 0.5053"
"Tery_1412"	3	2	3	2	6	0	3	"     0.82"	"     0.31"	"     0.55"	"     0.66"	"     1.09"	"     0.00"	"     0.85"	"-0.2640"	"-1.6545"	"-0.8373"	"-0.5801"	" 0.1372"	"-6.6439"	"-0.2249"
"Tery_1413"	4	3	1	1	1	9	0	"     1.10"	"     0.46"	"     0.18"	"     0.33"	"     0.18"	"     1.61"	"     0.00"	" 0.1467"	"-1.0847"	"-2.3716"	"-1.5587"	"-2.3836"	" 0.6980"	"-6.6439"
"Tery_1416"	101	180	180	70	192	105	126	"    27.70"	"    27.69"	"    32.98"	"    23.06"	"    34.87"	"    18.81"	"    35.52"	" 4.7923"	" 4.7918"	" 5.0440"	" 4.5281"	" 5.1244"	" 4.2342"	" 5.1509"
"Tery_1417"	60	120	75	31	57	54	45	"    16.46"	"    18.46"	"    13.74"	"    10.21"	"    10.35"	"     9.67"	"    12.68"	" 4.0413"	" 4.2071"	" 3.7816"	" 3.3538"	" 3.3733"	" 3.2755"	" 3.6662"
"Tery_1418"	131	254	215	84	151	200	135	"    35.93"	"    39.07"	"    39.39"	"    27.68"	"    27.43"	"    35.83"	"    38.05"	" 5.1674"	" 5.2885"	" 5.3003"	" 4.7910"	" 4.7780"	" 5.1634"	" 5.2504"
"Tery_1419"	51	76	64	34	39	105	42	"    13.99"	"    11.69"	"    11.73"	"    11.20"	"     7.08"	"    18.81"	"    11.84"	" 3.8070"	" 3.5486"	" 3.5530"	" 3.4870"	" 2.8265"	" 4.2342"	" 3.5667"
"Tery_1420"	8	12	19	7	21	8	16	"     2.19"	"     1.85"	"     3.48"	"     2.31"	"     3.81"	"     1.43"	"     4.51"	" 1.1401"	" 0.8922"	" 1.8038"	" 1.2118"	" 1.9352"	" 0.5292"	" 2.1764"
"Tery_1421"	306	342	380	313	428	304	260	"    83.92"	"    52.61"	"    69.63"	"   103.12"	"    77.74"	"    54.46"	"    73.29"	" 6.3911"	" 5.7175"	" 6.1218"	" 6.6884"	" 6.2807"	" 5.7674"	" 6.1957"
"Tery_1422"	11	13	10	6	19	7	10	"     3.02"	"     2.00"	"     1.83"	"     1.98"	"     3.45"	"     1.25"	"     2.82"	" 1.5978"	" 1.0070"	" 0.8815"	" 0.9905"	" 1.7912"	" 0.3380"	" 1.5002"
"Tery_1423"	88	177	88	90	149	173	75	"    24.13"	"    27.23"	"    16.12"	"    29.65"	"    27.06"	"    30.99"	"    21.14"	" 4.5936"	" 4.7675"	" 4.0121"	" 4.8905"	" 4.7588"	" 4.9543"	" 4.4027"
"Tery_1424"	33	58	52	40	43	68	29	"     9.05"	"     8.92"	"     9.53"	"    13.18"	"     7.81"	"    12.18"	"     8.17"	" 3.1796"	" 3.1590"	" 3.2537"	" 3.7212"	" 2.9672"	" 3.6078"	" 3.0329"
"Tery_1425"	433	481	803	319	621	424	433	"   118.75"	"    73.99"	"   147.14"	"   105.10"	"   112.79"	"    75.96"	"   122.06"	" 6.8919"	" 6.2095"	" 7.2011"	" 6.7158"	" 6.8176"	" 6.2473"	" 6.9315"
"Tery_1426"	9	14	12	14	15	12	11	"     2.47"	"     2.15"	"     2.20"	"     4.61"	"     2.72"	"     2.15"	"     3.10"	" 1.3093"	" 1.1134"	" 1.1433"	" 2.2087"	" 1.4512"	" 1.1108"	" 1.6373"
"Tery_1427"	17	19	15	18	32	17	15	"     4.66"	"     2.92"	"     2.75"	"     5.93"	"     5.81"	"     3.05"	"     4.23"	" 2.2241"	" 1.5523"	" 1.4639"	" 2.5706"	" 2.5415"	" 1.6114"	" 2.0835"
"Tery_1428"	81	144	100	109	111	146	46	"    22.21"	"    22.15"	"    18.32"	"    35.91"	"    20.16"	"    26.15"	"    12.97"	" 4.4741"	" 4.4700"	" 4.1964"	" 5.1668"	" 4.3342"	" 4.7095"	" 3.6979"
"Tery_1429"	42	40	40	32	64	43	30	"    11.52"	"     6.15"	"     7.33"	"    10.54"	"    11.62"	"     7.70"	"     8.46"	" 3.5271"	" 2.6237"	" 2.8756"	" 3.3996"	" 3.5403"	" 2.9473"	" 3.0818"
