""	"HFe_d5_rep1"	"HFe_d5_rep2"	"HFe_d5_rep3"	"LFe_d5_rep1"	"LFe_d5_rep2"	"MFe_d5_rep1"	"MFe_d5_rep2"
"Tery_0001"	8.79739043838432	8.6418448500588	8.50848574240579	8.93601941219494	8.90598373981046	8.72422203110497	8.54886487439248
"Tery_0002"	5.78163164269254	5.77084664476605	5.8779698604938	5.79674555935868	5.80124956059139	5.39863700856129	5.73181823077208
"Tery_0006"	5.78163164269254	6.01484700363035	6.44843340022831	5.83942107857903	5.53319325525916	5.39863700856129	6.58520289813197
"Tery_0008"	9.08012542439154	9.19675337496477	8.98667615457722	9.17218571787986	9.05054096545543	9.13986819014379	9.05055180621688
"Tery_0011"	8.20277497043259	8.02087391783838	7.7527729014979	7.68182801415207	7.85995606434681	8.30411475776774	7.81329287605308
"Tery_0012"	8.70955236362482	8.74022906363854	8.5733561543522	8.88191521639874	8.36081111185322	8.89321269696151	8.2679154925076
"Tery_0013"	9.70136273099292	9.53191221246965	9.50624840450667	9.79628284450408	9.7114889771079	9.84447258533812	9.586600188323
"Tery_0014"	6.85226724164614	6.75709369073551	6.74458789711314	6.42873147230643	6.3192731922205	6.96726219323044	6.68248106582642
"Tery_0015"	7.03186800351141	6.92059887282594	6.74458789711314	6.7117044950953	7.05287968359349	6.71365346217347	6.62495847323782
"Tery_0017"	10.3511080891673	9.8373206549451	10.1801224476571	10.4145302402708	10.5265911107778	9.37733075222376	9.74320045241484
"Tery_0018"	10.4942041859424	10.4148062687615	10.5477990895506	10.8245488052879	10.6469285821518	10.7243742066907	10.7795522821552
"Tery_0019"	10.5720509982189	10.5373379850167	10.6146777703939	10.050169854309	9.86157324853915	10.1743611999791	10.455326493642
"Tery_0020"	5.9834389333686	6.17426234186318	6.2294114544557	6.10214955006989	6.05827002751678	5.99119065932279	6.07425731106572
"Tery_0021"	11.3095166379158	11.2957223085523	11.1489085367897	11.408431023915	11.4586528798805	10.8039471687215	11.2553928621987
"Tery_0022"	7.20334947986544	6.96277224164872	7.13470202889633	6.55395749778631	6.66395087157254	6.5405201630531	6.7195175196183
"Tery_0023"	6.0730402163983	5.98036419899954	5.92233725853057	6.03263210011021	6.07744226628241	6.22957058767051	5.88068736846663
"Tery_0024"	5.53712644597403	5.96275298252848	5.70810988775	5.60824545476978	6.22116097545815	5.95010786786226	5.51331694451878
"Tery_0025"	5.33639443502186	5.7065858676668	5.47641863227065	5.08226441320749	5.59222110141215	5.46487659584391	5.4637734541301
"Tery_0027"	10.6334819656439	10.6833588326311	10.6443552897997	10.7992624925165	10.8028087701191	10.9414305474467	10.7131669918314
"Tery_0028"	9.54358657014839	9.6351188093148	9.81418608524872	9.27717002836223	9.54554066380524	9.21550506892036	9.52191944218449
"Tery_0033"	10.3497272819863	10.6932005601564	10.613908720537	10.2429343453155	10.4586206573419	10.5865396859904	10.6353736072293
"Tery_0034"	9.3471299059624	9.39984469779107	9.54551267422753	9.73915559197121	9.72142968227985	9.50824637442339	9.32598427305773
"Tery_0035"	5.70588165036821	5.6616415182723	5.7839498422618	5.16660231456718	5.70154140887955	5.79419556218147	5.29871948416646
"Tery_0037"	4.81868588020994	4.79856677779155	4.91890815365907	4.98808847179761	4.60144995351261	4.59938713446695	4.83053651952847
"Tery_0040"	6.58862275518598	7.17070634180337	7.09040889102128	6.62383006143631	6.89796880962837	7.10496928988846	7.16769447846281
"Tery_0041"	8.88017053172728	8.40430641512903	8.47151686758148	7.4136979498938	7.3415314979944	7.80091381699348	7.49597551739109
"Tery_0043"	7.91090477188651	7.73972415433483	7.952012230334	7.64959945303544	7.555527044911	7.77939737771221	7.82163300371225
"Tery_0045"	10.8304592586635	10.6603392942935	10.9438920306555	10.914769615993	11.0213821562649	10.7396756111326	11.0018806076266
"Tery_0046"	6.0730402163983	6.40663499784921	6.34350214493614	6.26087061553178	6.2873873661324	5.77014710202351	6.48033654978555
"Tery_0047"	7.54350838325513	7.02768699746462	7.17763330275275	6.75359869406757	7.12430360231222	6.81432508208453	7.01427458859288
"Tery_0050"	5.00430651199561	4.96270627871445	5.30032814739447	4.98808847179761	4.97414562212807	4.59938713446695	4.93131419378368
"Tery_0054"	6.01403179840516	5.85135351799987	5.94392463675806	5.60824545476978	5.95769611849686	5.99119065932279	5.73181823077208
"Tery_0057"	6.52912223087243	6.52628588292834	6.49097467533572	6.52983493999294	6.54985148390268	6.37192175181724	6.39005840033523
"Tery_0058"	6.86815935982048	7.08210054355705	7.20277347767151	6.96359107824473	7.06201055356365	6.89799690110121	6.85836449659573
"Tery_0059"	11.2706491415933	11.6551334676889	11.6546455198811	11.1643414189115	11.4407206845446	11.1603485776002	11.6018127601471
"Tery_0060"	9.40680547998818	9.45442230065231	9.37252579283639	9.31846842841404	9.36160170515846	9.68542315775481	9.46747123942295
"Tery_0064"	5.58180648367143	5.83173681917295	5.53914590805669	5.75245491038883	5.75247128013715	5.72049847312951	5.35685813622465
"Tery_0065"	5.9834389333686	5.6616415182723	5.44358326171076	5.60824545476978	5.77711596270461	5.29017749327564	5.41173396731537
"Tery_0066"	6.0730402163983	6.01484700363035	5.85515510044613	6.19972705470318	6.39574144085393	5.92903601452621	5.64951179152548
"Tery_0068"	11.7329559855663	12.2034730932474	11.9903618247267	12.0119124080965	12.5284060299072	11.3458416573284	11.7475750161695
"Tery_0069"	10.8675929106765	11.0527016038023	10.9352992153087	10.9292726580686	10.9597556724714	11.0652876379218	11.010968808126
"Tery_0070"	4.81868588020994	5.09613846145995	4.7010401994848	5.16660231456718	5.17213236424621	5.21028831563245	4.93131419378368
"Tery_0071"	8.91049366846992	9.07017822873165	9.06987022591951	8.7420919966984	8.54197741556449	9.31178764918234	9.09913628601823
"Tery_0072"	8.66576003293604	8.74497585432202	8.46126698348042	8.64792746583061	8.685495130297	8.4298412413509	8.33333915686147
"Tery_0073"	10.9159736300805	10.9327001601042	11.1652723891088	10.2553858790727	10.5362746761581	10.5001452503022	10.7087052330891
"Tery_0075"	7.90335410517666	7.84121383531289	8.25115943949238	8.12546834679402	7.93057375404743	7.01469749539054	8.17359584065188
"Tery_0076"	7.24010370473814	7.88073469464268	7.64161657944107	7.48868616432115	7.97419236407001	7.41007880826675	7.67274239254308
"Tery_0080"	8.57868821275762	9.00245676526718	8.84949196647603	9.12251897954218	9.01400662498187	8.31160389801403	8.84202199996024
"Tery_0081"	6.68229887535566	6.43144393461929	6.24633835311703	6.6902637916422	6.52312525198039	6.47285237486273	6.64440555497795
"Tery_0082"	8.39229116236886	8.50576501695982	8.49515240819114	9.04259739923869	8.47627019739902	9.02636724982956	8.450512327657
"Tery_0085"	6.01403179840516	6.34248772551701	6.15937820603899	6.50526944793951	6.350397938948	6.22957058767051	6.18837519042712
"Tery_0087"	8.89919726010021	8.94794645235135	9.05406577713503	9.20925813161416	8.8474727215	9.47869083719477	9.24504546344262
"Tery_0088"	6.62687589128357	6.39405344345047	6.2294114544557	6.48024322445013	6.2711460943172	6.12511154713288	6.26772606777902
