""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_2483"	7953.03843693147	-7.94226782260107	0.363542433040272	-21.8468797608593	8.3228807333187e-106	3.05616180527463e-102
"Tery_1664"	496.60858829232	-7.28616076791636	0.385575223641808	-18.8968593445855	1.210468711066e-79	2.22242055351718e-76
"Tery_1663"	298.03931301358	-7.00382151712886	0.411714532119041	-17.0113536704209	6.76563162249931e-65	6.30610188390031e-62
"Tery_1687"	20690.3229238234	-6.20226609077776	0.364614793322973	-17.0104620118467	6.86939203039249e-65	6.30610188390031e-62
"Tery_4280"	5309.756243623	-3.41918312585729	0.215808692221145	-15.8435839199357	1.55688756925913e-56	1.14337823086391e-53
"Tery_4281"	1173.79781900941	-3.92305450236643	0.250940512577053	-15.6334043557906	4.31139876588258e-55	2.63857604472014e-52
"Tery_1665"	3923.41595461409	-5.04586587859198	0.326317261837213	-15.463067599253	6.15940417737338e-54	3.23104744847358e-51
"Tery_1885"	2411.21956763276	5.28034128630804	0.349019675635867	15.1290647918	1.04165179993127e-51	4.78118176168454e-49
"Tery_1686"	200.589761198393	-4.55469018097681	0.302755847351004	-15.0441030976894	3.77414036917482e-51	1.53984927062333e-48
"Tery_2486"	1129.46801432534	-4.78477043466038	0.364520559992944	-13.1262018108197	2.33055837804665e-39	8.55781036418731e-37
"Tery_3404"	334.557003366783	-2.91281137281597	0.234244046629141	-12.4349430208896	1.6886116260503e-35	5.63689262805155e-33
"Tery_0847"	1362.78180237484	3.15777101087428	0.266846810354894	11.8336472025826	2.61526069225542e-32	8.00269771830158e-30
"Tery_1667"	26269.6488510135	-6.72921441072384	0.598732317084355	-11.2391033834503	2.62030090986711e-29	7.40134226233234e-27
"Tery_2484"	9612.60989929685	-8.16364923549418	0.777135210769298	-10.5047990650338	8.2097446670728e-26	2.15329874410652e-23
"Tery_0831"	436.427149032464	-2.05024254551895	0.211717501428515	-9.68385953775863	3.5312756173422e-22	8.48314234637265e-20
"Tery_1662"	79.0297871094994	-3.51501843552691	0.363152158197626	-9.67918916680112	3.69635832085954e-22	8.48314234637265e-20
"Tery_2485"	9262.07698630275	-8.31726867331492	0.862887188518938	-9.63888302431597	5.47807891869659e-22	1.18326504643846e-19
"Tery_3032"	1954.03455017039	-1.80990009041	0.190224995542668	-9.51452297447439	1.82548484631086e-21	3.72398908647416e-19
"Tery_4138"	23275.6606217579	2.21606490511348	0.233882522713206	9.47511972850952	2.6645496051381e-21	5.14959271056163e-19
"Tery_3822"	2801.95141311588	-2.79444049165021	0.318609019273049	-8.77075136801248	1.7747795186773e-18	3.25849519629152e-16
"Tery_3820"	4129.03958841161	-2.82746992691525	0.323040335517469	-8.75268384793499	2.08337730867731e-18	3.64293403688718e-16
"Tery_3818"	1445.34336259432	-2.56795737365032	0.301314751176771	-8.52250798748246	1.56134880113077e-17	2.60603308988736e-15
"Tery_3824"	599.969264042162	-2.52861661049009	0.297506933123021	-8.49935355773538	1.90649402344745e-17	3.0437591539561e-15
"Tery_4141"	1260.68849273121	1.85204005820149	0.223850659829241	8.27355192794282	1.30026132896733e-16	1.98939983332001e-14
"Tery_3819"	6630.17113589347	-2.69201508405764	0.325910400732179	-8.25998519227939	1.45690540195654e-16	2.13990265439376e-14
"Tery_0280"	637.163241935465	2.00388772357172	0.245603120864751	8.1590482910648	3.37674630806215e-16	4.76900478584778e-14
"Tery_4133"	8086.24021070469	1.98012670963333	0.246557615136573	8.03109126658487	9.66094492108462e-16	1.31388850926751e-13
"Tery_3963"	1803.09520373301	1.60235295173971	0.202066259874999	7.92983921576491	2.19429794278608e-15	2.87766501639661e-13
"Tery_4136"	30722.431022931	2.03917242268711	0.258167320079134	7.8986465911412	2.8194805165532e-15	3.57004567475288e-13
"Tery_3064"	175.695913857044	3.363017106083	0.431003917064283	7.80275299813902	6.05710330208014e-15	7.4138944417461e-13
"Tery_3817"	2304.04238943907	-2.8177182686744	0.362597628938027	-7.77092303920163	7.79162310817297e-15	8.94088751662849e-13
"Tery_4142"	5329.80802830754	1.88814502317734	0.242925906090153	7.77251407051098	7.69434547502331e-15	8.94088751662849e-13
"Tery_3825"	3455.91941147207	-2.72580276953158	0.356149688154619	-7.65353125438706	1.95534086873009e-14	2.17576111211421e-12
"Tery_3821"	3735.66094253573	-2.86460393345393	0.375508070322606	-7.62860817077219	2.37301684543988e-14	2.48963367327293e-12
"Tery_4137"	29002.4049465404	1.83874542695999	0.240978168991108	7.63034026965257	2.34134897674101e-14	2.48963367327293e-12
"Tery_1046"	25349.2545798152	-1.55120058877971	0.20407660050316	-7.60107030867408	2.93691483404089e-14	2.99565313072171e-12
"Tery_0830"	373.979511172058	-2.12223524679493	0.282640176298349	-7.5086113891846	5.97578279036768e-14	5.93056065033247e-12
"Tery_0277"	1173.3983128901	1.7795683242945	0.237651508897573	7.48814233307263	6.98552502316192e-14	6.5771404833463e-12
"Tery_3368"	316.463735557938	2.3300472120585	0.311055159022781	7.4907846549745	6.84630684900472e-14	6.5771404833463e-12
"Tery_3826"	12753.7545246831	-2.3582059968451	0.315567062182186	-7.47291552083354	7.84372070741528e-14	7.20053560940723e-12
"Tery_3063"	57.8315052857663	4.01559485164653	0.542206893898966	7.40601954130592	1.30146664500442e-13	1.16560622450152e-11
"Tery_3061"	64.4459432896028	5.53097519571705	0.747798152082912	7.39634777153582	1.39981108423674e-13	1.22383483364697e-11
"Tery_3062"	56.8826632376994	3.54464467805677	0.480911730325979	7.37067626870753	1.69764635845493e-13	1.44971102982477e-11
