""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_1686"	200.589761198393	-2.0866284167008	0.292457905668115	-7.13479914975774	9.69285902921872e-13	3.08039059948571e-09
"Tery_0847"	1362.78180237484	1.87352229780488	0.292142519375951	6.41304217478144	1.42644036671564e-10	2.26661374271114e-07
"Tery_1046"	25349.2545798152	-1.3665108120327	0.223570453986823	-6.1122155797619	9.82573248279696e-10	1.04087259434429e-06
"Tery_1663"	298.03931301358	-1.64361511574584	0.294493662378726	-5.58115615280069	2.38925012526028e-08	1.89825922451929e-05
"Tery_1657"	122.797637838762	-1.46584102812533	0.273905753452518	-5.35162554874716	8.71676283855259e-08	5.54037446018402e-05
"Tery_1664"	496.60858829232	-1.59066684607986	0.302515828309013	-5.25812766548872	1.45529479980675e-07	5.78115859223232e-05
"Tery_3822"	2801.95141311588	-1.84817281194119	0.34865990862116	-5.30078958389602	1.15302918028862e-07	5.78115859223232e-05
"Tery_4984"	871.750948631706	-1.09962216422764	0.208339358250803	-5.27803374964749	1.30577419598743e-07	5.78115859223232e-05
"Tery_1662"	79.0297871094994	-1.90463663242402	0.366332353721598	-5.1992039825985	2.00143790605794e-07	6.36056966545213e-05
"Tery_2985"	1156.36600695507	1.36341060580642	0.26169404848262	5.20994120314117	1.88900485601082e-07	6.36056966545213e-05
"Tery_0107"	3144.86268305658	1.10358665289874	0.213501477804475	5.16898835664928	2.3536455933546e-07	6.79989608698266e-05
"Tery_3108"	619.110961321895	1.08847748037006	0.219380389014853	4.96159882502698	6.99152827222023e-07	0.000185158973742632
"Tery_1530"	3310.4096632854	1.16880737370397	0.2374120621043	4.9231170621419	8.51764648219734e-07	0.00019335057514588
"Tery_1881"	728.921016980932	1.55245544570445	0.314843896554868	4.93087356207936	8.18627089563322e-07	0.00019335057514588
"Tery_3824"	599.969264042162	-1.58909513993599	0.324292919446472	-4.90018450803175	9.57466944216984e-07	0.000202855329914772
"Tery_3820"	4129.03958841161	-1.70214062856132	0.353553613461398	-4.81437768913416	1.47659307903606e-06	0.000293288300323538
"Tery_2405"	560.90756004173	-1.02160608975656	0.21346518775236	-4.78582058514255	1.70290129801723e-06	0.000300656684727709
"Tery_4133"	8086.24021070469	1.29503012015655	0.270096707442999	4.79469051073069	1.629261659475e-06	0.000300656684727709
"Tery_2334"	555.43083886788	1.12311968807437	0.236350335005865	4.75192763338584	2.01486490476969e-06	0.000310037084727338
"Tery_4141"	1260.68849273121	1.16714557869716	0.245354619555926	4.75697413323461	1.96516338887434e-06	0.000310037084727338
"Tery_4957"	746.361608176268	1.07934803377823	0.227300082696052	4.74855979362551	2.04870320304408e-06	0.000310037084727338
"Tery_0262"	6335.33884879966	1.08654087384714	0.232545746970151	4.67237473918029	2.97737096930961e-06	0.000430094770021179
"Tery_3243"	907.952523306984	1.09901000586165	0.237909924545193	4.61943741087136	3.84781925496382e-06	0.000531668243142392
"Tery_0149"	3976.23588843492	1.26597190153116	0.279125237698146	4.53549780009581	5.7467777290316e-06	0.000732806694649534
"Tery_2289"	1347.60056780979	1.13069829623994	0.249335809089055	4.53484118615344	5.76468450794158e-06	0.000732806694649534
